setting,classifier,rate
"('sagittal', 'neutral-hututu.dat', 'whole', 'neutral-chebyshev.dat')",KNN_manhattam,62.89
"('sagittal', 'neutral-hututu.dat', 'whole', 'neutral-zernike.dat')",KNN_manhattam,58.76
"('sagittal', 'neutral-legendre.dat', 'sagittal', 'neutral-chebyshev.dat')",MLP,72.68
"('sagittal', 'neutral-legendre.dat', 'sagittal', 'neutral-zernike.dat')",KNN_manhattam,45.88
"('sagittal', 'neutral-legendre.dat', 'transversal', 'neutral-hu1980.dat')",KNN_euclidean,73.71
"('sagittal', 'neutral-legendre.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,79.9
"('sagittal', 'neutral-legendre.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,76.29
"('sagittal', 'neutral-legendre.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,74.74
"('sagittal', 'neutral-legendre.dat', 'transversal', 'neutral-zernike.dat')",KNN_manhattam,47.42
"('sagittal', 'neutral-legendre.dat', 'whole', 'neutral-hu1980.dat')",MLP,73.71
"('sagittal', 'neutral-legendre.dat', 'whole', 'neutral-hututu.dat')",MLP,76.8
"('sagittal', 'neutral-legendre.dat', 'whole', 'neutral-legendre.dat')",MLP,71.13
"('sagittal', 'neutral-legendre.dat', 'whole', 'neutral-chebyshev.dat')",MLP,72.16
"('sagittal', 'neutral-legendre.dat', 'whole', 'neutral-zernike.dat')",KNN_manhattam,70.62
"('sagittal', 'neutral-chebyshev.dat', 'sagittal', 'neutral-zernike.dat')",KNN_manhattam,45.36
"('sagittal', 'neutral-chebyshev.dat', 'transversal', 'neutral-hu1980.dat')",MLP,77.32
"('sagittal', 'neutral-chebyshev.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,79.38
"('sagittal', 'neutral-chebyshev.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,76.29
"('sagittal', 'neutral-chebyshev.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,71.65
"('sagittal', 'neutral-chebyshev.dat', 'transversal', 'neutral-zernike.dat')",KNN_manhattam,47.94
"('sagittal', 'neutral-chebyshev.dat', 'whole', 'neutral-hu1980.dat')",MLP,72.16
"('sagittal', 'neutral-chebyshev.dat', 'whole', 'neutral-hututu.dat')",MLP,75.77
"('sagittal', 'neutral-chebyshev.dat', 'whole', 'neutral-legendre.dat')",MLP,77.84
"('sagittal', 'neutral-chebyshev.dat', 'whole', 'neutral-chebyshev.dat')",MLP,70.62
"('sagittal', 'neutral-chebyshev.dat', 'whole', 'neutral-zernike.dat')",KNN_manhattam,70.1
"('sagittal', 'neutral-zernike.dat', 'transversal', 'neutral-hu1980.dat')",MLP,31.44
"('sagittal', 'neutral-zernike.dat', 'transversal', 'neutral-hututu.dat')",MLP,41.75
"('sagittal', 'neutral-zernike.dat', 'transversal', 'neutral-legendre.dat')",MLP,47.42
"('sagittal', 'neutral-zernike.dat', 'transversal', 'neutral-chebyshev.dat')",MLP,48.45
"('sagittal', 'neutral-zernike.dat', 'transversal', 'neutral-zernike.dat')",KNN_euclidean,25.26
"('sagittal', 'neutral-zernike.dat', 'whole', 'neutral-hu1980.dat')",KNN_euclidean,29.38
"('sagittal', 'neutral-zernike.dat', 'whole', 'neutral-hututu.dat')",KNN_euclidean,34.54
"('sagittal', 'neutral-zernike.dat', 'whole', 'neutral-legendre.dat')",MLP,37.11
"('sagittal', 'neutral-zernike.dat', 'whole', 'neutral-chebyshev.dat')",MLP,35.57
"('sagittal', 'neutral-zernike.dat', 'whole', 'neutral-zernike.dat')",KNN_euclidean,29.9
"('transversal', 'neutral-hu1980.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,74.23
"('transversal', 'neutral-hu1980.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,73.71
"('transversal', 'neutral-hu1980.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,71.65
"('transversal', 'neutral-hu1980.dat', 'transversal', 'neutral-zernike.dat')",MLP,30.41
"('transversal', 'neutral-hu1980.dat', 'whole', 'neutral-hu1980.dat')",KNN_euclidean,47.42
"('transversal', 'neutral-hu1980.dat', 'whole', 'neutral-hututu.dat')",KNN_manhattam,65.46
"('transversal', 'neutral-hu1980.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,66.49
"('transversal', 'neutral-hu1980.dat', 'whole', 'neutral-chebyshev.dat')",KNN_manhattam,67.01
"('transversal', 'neutral-hu1980.dat', 'whole', 'neutral-zernike.dat')",MLP,38.66
"('transversal', 'neutral-hututu.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,75.26
"('transversal', 'neutral-hututu.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,75.26
"('transversal', 'neutral-hututu.dat', 'transversal', 'neutral-zernike.dat')",KNN_euclidean,42.78
