setting,classifier,rate
"[('radial', 'hu1980'), ('whole', 'husiq')]",KNN_euclidean,67.53
"[('radial', 'hu1980'), ('whole', 'hututu')]",KNN_euclidean,68.04
"[('radial', 'hu1980'), ('whole', 'hu1980')]",KNN_euclidean,46.91
"[('radial', 'hu1980'), ('whole', 'legendre')]",KNN_manhattam,85.05
"[('radial', 'hu1980'), ('whole', 'chebyshev')]",KNN_euclidean,80.93
"[('radial', 'hu1980'), ('whole', 'zernike')]",KNN_euclidean,86.6
"[('radial', 'hu1980'), ('upper', 'husiq')]",KNN_euclidean,57.73
"[('radial', 'hu1980'), ('upper', 'hututu')]",KNN_manhattam,68.56
"[('radial', 'hu1980'), ('upper', 'hu1980')]",KNN_euclidean,42.78
"[('radial', 'hu1980'), ('upper', 'legendre')]",KNN_euclidean,75.77
"[('radial', 'hu1980'), ('upper', 'chebyshev')]",KNN_euclidean,75.26
"[('radial', 'hu1980'), ('upper', 'zernike')]",KNN_euclidean,76.29
"[('radial', 'hu1980'), ('lower', 'husiq')]",KNN_euclidean,57.73
"[('radial', 'hu1980'), ('lower', 'hututu')]",KNN_euclidean,63.92
"[('radial', 'hu1980'), ('lower', 'hu1980')]",KNN_euclidean,43.3
"[('radial', 'hu1980'), ('lower', 'legendre')]",KNN_manhattam,70.62
"[('radial', 'hu1980'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('radial', 'hu1980'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('radial', 'chebyshev')]",ERROR,0.0
"[('radial', 'legendre'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'husiq')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'hututu')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'hu1980')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'legendre')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'chebyshev')]",KNN_manhattam,0.0
"[('radial', 'legendre'), ('sagittal', 'zernike')]",KNN_manhattam,0.0
